X ; php bn:01753580n ; mysql bn:01225760n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; types bn:00016413n ; session bn:03751534n ; base de donnees bn:00025333n ; entités bn:00031027n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; post bn:01500184n ; méthode get bn:00045088n ; code bn:00020354n ; utilisateur bn:00079373n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; programmation bn:00021493n ; class bn:03598962n ; commentaires bn:00020978n ; composer bn:14766022n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; personne bn:00046516n ; hiérarchie bn:00044017n ; définition bn:00025928n ; langage bn:00049910n ; mise bn:00016287n ; mode bn:00033729n ; configuration bn:03088982n ; xml bn:02771436n ; postgresql bn:01709156n ; web bn:00080772n ; méthode bn:01641329n ; bits bn:00010731n ; foreach bn:03463379n ; pouvoir bn:00084450v ; information bn:00046705n ; timestamp bn:03603649n ; easyphp bn:14837849n ; pouvoir bn:00084451v ; impossible bn:00104687a ; public bn:00109211a ; en-tête bn:00043309n ; client bn:00019764n ; java bn:00048043n ; file bn:00065682n ; echo bn:03626250n ; rue bn:00074595n ; void bn:01326821n ; classe bn:03608262n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; environnement de développement bn:00748100n ; realisateur bn:00027369n ; informatique bn:00100175a
commentaires bn:00020978n ; 0.0526316 ; 0.210526 ; 0.0526316 ; 0.0930233 ; 0.145455 ; 0.316832 ; 0.333333 ; 0.145455 ; 0.145455 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0526316 ; 0.219178 ; 0.101266 ; 0.148148 ; 0.137931 ; 0.0909091 ; 0.0909091 ; 0.561404 ; 0.561404 ; 0.222222 ; 0.5 ; 1 ; 0.0677966 ; 0.125 ; 0.561404 ; 0.25 ; 0.0625 ; 0.142857 ; 0.340426 ; 0.2 ; 0.316832 ; 0.333333 ; 0.0909091 ; 0.2 ; 0.148148 ; 0.2 ; 0.340426 ; 0.219178 ; 0.125 ; 0.145455 ; 0.25 ; 0.5 ; 0.0625 ; 0.2 ; 0.5 ; 0.0666667 ; 0.2 ; 0.210526 ; 0.0909091 ; 0.125 ; 0.030303 ; 0.0625 ; 0.210526 ; 0.0588235 ; 0.125 ; 0.0625 ; 0.0625 ; 0.030303 ; 0.0625 ; 0.0588235
composer bn:14766022n ; 0.258065 ; 0.0963855 ; 0.114286 ; 0.210526 ; 0.0689655 ; 0.137931 ; 0.0677966 ; 0.0689655 ; 0.148148 ; 0.0540541 ; 0.0540541 ; 0.0540541 ; 0.0540541 ; 0.258065 ; 0.222222 ; 0.228571 ; 0.355556 ; 0.31 ; 0.205128 ; 0.205128 ; 0.1 ; 0.1 ; 0.225352 ; 0.0930233 ; 0.0677966 ; 1 ; 0.0294118 ; 0.1 ; 0.0540541 ; 0.0645161 ; 0.144144 ; 0.0689655 ; 0.205128 ; 0.137931 ; 0.145455 ; 0.205128 ; 0.205128 ; 0.150943 ; 0.0930233 ; 0.148148 ; 0.222222 ; 0.129032 ; 0.0689655 ; 0.114286 ; 0.0930233 ; 0.0645161 ; 0.0930233 ; 0.0930233 ; 0.340426 ; 0.0930233 ; 0.0963855 ; 0.205128 ; 0.0606061 ; 0.0645161 ; 0.0645161 ; 0.0963855 ; 0.129032 ; 0.0294118 ; 0.03125 ; 0.03125 ; 0.0645161 ; 0.03125 ; 0.0606061
chaîne bn:00074685n ; 0.0909091 ; 0.0666667 ; 0.2 ; 0.117647 ; 0.129032 ; 0.039604 ; 0.125 ; 0.129032 ; 0.0606061 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.0909091 ; 0.0338983 ; 0.0350877 ; 0.0625 ; 0.0196078 ; 0.0526316 ; 0.0526316 ; 0.0701754 ; 0.0701754 ; 0.0714286 ; 0.25 ; 0.125 ; 0.0294118 ; 1 ; 0.0701754 ; 0.2 ; 0.2 ; 0.0416667 ; 0.129032 ; 0.0526316 ; 0.039604 ; 0.0588235 ; 0.0526316 ; 0.111111 ; 0.0625 ; 0.25 ; 0.0606061 ; 0.0338983 ; 0.142857 ; 0.129032 ; 0.2 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 0.0285714 ; 0.111111 ; 0.0666667 ; 0.111111 ; 0.333333 ; 0.2 ; 0.2 ; 0.0666667 ; 0.142857 ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 0.5 ; 0.333333
syntaxe bn:00062118n ; 0.031746 ; 0.158416 ; 0.0655738 ; 0.125 ; 0.222222 ; 0.564356 ; 0.219178 ; 0.222222 ; 0.222222 ; 0.140351 ; 0.140351 ; 0.0655738 ; 0.140351 ; 0.0655738 ; 0.373494 ; 0.154639 ; 0.225352 ; 0.246032 ; 0.123077 ; 0.123077 ; 1 ; 1 ; 0.164948 ; 0.280702 ; 0.561404 ; 0.1 ; 0.0701754 ; 1 ; 0.140351 ; 0.0350877 ; 0.243902 ; 0.54386 ; 0.123077 ; 0.564356 ; 0.219178 ; 0.057971 ; 0.123077 ; 0.225352 ; 0.123077 ; 0.54386 ; 0.373494 ; 0.0701754 ; 0.222222 ; 0.140351 ; 0.280702 ; 0.0350877 ; 0.280702 ; 0.280702 ; 0.0987654 ; 0.123077 ; 0.158416 ; 0.123077 ; 0.0701754 ; 0.0172414 ; 0.0350877 ; 0.158416 ; 0.0338983 ; 0.0701754 ; 0.0350877 ; 0.0350877 ; 0.0350877 ; 0.0350877 ; 0.0701754
personne bn:00046516n ; 0.142857 ; 0.0625 ; 0.142857 ; 0.210526 ; 0.114286 ; 0.0792079 ; 0.25 ; 0.114286 ; 0.114286 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.0666667 ; 0.140351 ; 0.0677966 ; 0.117647 ; 0.08 ; 0.2 ; 0.0909091 ; 0.140351 ; 0.140351 ; 0.0666667 ; 0.2 ; 0.25 ; 0.0540541 ; 0.2 ; 0.140351 ; 1 ; 0.25 ; 0.0833333 ; 0.114286 ; 0.2 ; 0.0792079 ; 0.111111 ; 0.2 ; 0.0909091 ; 0.0555556 ; 0.2 ; 0.258065 ; 0.140351 ; 0.2 ; 0.114286 ; 0.333333 ; 0.2 ; 0.111111 ; 0.2 ; 0.5 ; 0.0526316 ; 0.0909091 ; 0.0625 ; 0.0434783 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.0625 ; 0.0909091 ; 0.5 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.2
hiérarchie bn:00044017n ; 0.25 ; 0.0163934 ; 0.111111 ; 0.133333 ; 0.03125 ; 0.019802 ; 0.0625 ; 0.03125 ; 0.03125 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0350877 ; 0.0363636 ; 0.0666667 ; 0.02 ; 0.125 ; 0.0588235 ; 0.0350877 ; 0.0350877 ; 0.0357143 ; 0.125 ; 0.0625 ; 0.0645161 ; 0.2 ; 0.0350877 ; 0.25 ; 1 ; 0.0208333 ; 0.03125 ; 0.125 ; 0.019802 ; 0.0625 ; 0.125 ; 0.125 ; 0.0322581 ; 0.125 ; 0.0645161 ; 0.0350877 ; 0.5 ; 0.03125 ; 0.25 ; 0.125 ; 0.333333 ; 0.0588235 ; 0.125 ; 0.030303 ; 0.0588235 ; 0.0163934 ; 0.0588235 ; 0.2 ; 0.333333 ; 0.333333 ; 0.0163934 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2
définition bn:00025928n ; 0.0833333 ; 0.258065 ; 0.0833333 ; 0.15625 ; 0.322917 ; 0.387324 ; 0.333333 ; 0.322917 ; 0.144144 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.0833333 ; 0.04 ; 0.243902 ; 0.572917 ; 0.135135 ; 0.380282 ; 0.166667 ; 0.0769231 ; 0.243902 ; 0.243902 ; 0.245902 ; 0.0769231 ; 0.142857 ; 0.144144 ; 0.0416667 ; 0.243902 ; 0.0833333 ; 0.0208333 ; 1 ; 0.144144 ; 0.0769231 ; 0.387324 ; 0.142857 ; 0.166667 ; 0.0769231 ; 0.135135 ; 0.166667 ; 0.144144 ; 0.243902 ; 0.0204082 ; 0.322917 ; 0.04 ; 0.0769231 ; 0.0103093 ; 0.0769231 ; 0.0769231 ; 0.142857 ; 0.0769231 ; 0.258065 ; 0.0769231 ; 0.0204082 ; 0.0208333 ; 0.0103093 ; 0.258065 ; 0.0204082 ; 0.0416667 ; 0.0208333 ; 0.0208333 ; 0.0208333 ; 0.0208333 ; 0.0416667
langage bn:00049910n ; 0.0263158 ; 0.213333 ; 0.114286 ; 0.0952381 ; 0.347826 ; 0.306931 ; 0.145455 ; 0.347826 ; 0.347826 ; 0.258065 ; 0.258065 ; 0.114286 ; 0.258065 ; 0.114286 ; 0.222222 ; 0.102564 ; 0.150943 ; 0.13913 ; 0.0930233 ; 0.205128 ; 0.54386 ; 0.54386 ; 0.101266 ; 0.205128 ; 0.340426 ; 0.0689655 ; 0.129032 ; 0.54386 ; 0.114286 ; 0.03125 ; 0.144144 ; 1 ; 0.0930233 ; 0.306931 ; 0.145455 ; 0.0444444 ; 0.0930233 ; 0.355556 ; 0.0930233 ; 0.347826 ; 0.222222 ; 0.0606061 ; 0.347826 ; 0.114286 ; 0.205128 ; 0.0645161 ; 0.516129 ; 0.205128 ; 0.145455 ; 0.205128 ; 0.213333 ; 0.205128 ; 0.129032 ; 0.03125 ; 0.0645161 ; 0.213333 ; 0.0606061 ; 0.129032 ; 0.0645161 ; 0.0645161 ; 0.0645161 ; 0.0645161 ; 0.129032
mise bn:00016287n ; 0.2 ; 0.117647 ; 0.0434783 ; 0.148148 ; 0.0444444 ; 0.158416 ; 0.2 ; 0.0444444 ; 0.0930233 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0434783 ; 0.2 ; 0.280702 ; 0.126984 ; 0.210526 ; 0.16 ; 0.142857 ; 0.333333 ; 0.123077 ; 0.123077 ; 0.125 ; 0.142857 ; 0.2 ; 0.205128 ; 0.0526316 ; 0.123077 ; 0.2 ; 0.125 ; 0.0769231 ; 0.0930233 ; 1 ; 0.158416 ; 0.2 ; 0.333333 ; 0.142857 ; 0.210526 ; 0.142857 ; 0.205128 ; 0.280702 ; 0.25 ; 0.0444444 ; 0.2 ; 0.333333 ; 0.125 ; 0.142857 ; 0.333333 ; 0.2 ; 0.142857 ; 0.117647 ; 0.0666667 ; 0.111111 ; 0.0588235 ; 0.125 ; 0.117647 ; 0.111111 ; 0.111111 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0526316
mode bn:00033729n ; 0.0380952 ; 0.248062 ; 0.0380952 ; 0.148515 ; 0.137931 ; 1 ; 0.316832 ; 0.137931 ; 0.137931 ; 0.0792079 ; 0.0792079 ; 0.0792079 ; 0.0792079 ; 0.0792079 ; 0.564356 ; 0.228346 ; 0.29703 ; 0.395833 ; 0.0733945 ; 0.158416 ; 0.564356 ; 0.564356 ; 0.246032 ; 0.158416 ; 0.316832 ; 0.137931 ; 0.039604 ; 0.564356 ; 0.0792079 ; 0.019802 ; 0.387324 ; 0.306931 ; 0.158416 ; 1 ; 0.136752 ; 0.0733945 ; 0.0733945 ; 0.29703 ; 0.158416 ; 0.306931 ; 0.564356 ; 0.039604 ; 0.137931 ; 0.0792079 ; 0.158416 ; 0.019802 ; 0.158416 ; 0.158416 ; 0.136752 ; 0.0733945 ; 0.248062 ; 0.0733945 ; 0.039604 ; 0.00980392 ; 0.019802 ; 0.248062 ; 0.0194175 ; 0.039604 ; 0.019802 ; 0.019802 ; 0.019802 ; 0.019802 ; 0.039604
configuration bn:03088982n ; 0.111111 ; 0.210526 ; 0.0526316 ; 0.0444444 ; 0.145455 ; 0.136752 ; 0.142857 ; 0.145455 ; 0.145455 ; 0.0526316 ; 0.0526316 ; 0.0526316 ; 0.0526316 ; 0.0526316 ; 0.0987654 ; 0.225352 ; 0.0689655 ; 0.137931 ; 0.2 ; 0.0909091 ; 0.219178 ; 0.219178 ; 0.222222 ; 0.2 ; 0.333333 ; 0.145455 ; 0.0588235 ; 0.219178 ; 0.111111 ; 0.0625 ; 0.142857 ; 0.145455 ; 0.2 ; 0.136752 ; 1 ; 0.2 ; 0.5 ; 0.148148 ; 0.0909091 ; 0.145455 ; 0.0987654 ; 0.125 ; 0.145455 ; 0.111111 ; 0.5 ; 0.0625 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.5 ; 0.210526 ; 0.2 ; 0.125 ; 0.0625 ; 0.0625 ; 0.210526 ; 0.125 ; 0.0588235 ; 0.0625 ; 0.0625 ; 0.030303 ; 0.030303 ; 0.0285714
xml bn:02771436n ; 0.5 ; 0.117647 ; 0.0909091 ; 0.148148 ; 0.0930233 ; 0.0733945 ; 0.2 ; 0.0930233 ; 0.0930233 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0434783 ; 0.0909091 ; 0.123077 ; 0.290909 ; 0.0952381 ; 0.16 ; 0.333333 ; 0.142857 ; 0.057971 ; 0.057971 ; 0.125 ; 0.0666667 ; 0.0909091 ; 0.205128 ; 0.0526316 ; 0.057971 ; 0.2 ; 0.125 ; 0.166667 ; 0.0444444 ; 0.333333 ; 0.0733945 ; 0.2 ; 1 ; 0.142857 ; 0.0952381 ; 0.142857 ; 0.0930233 ; 0.123077 ; 0.111111 ; 0.0930233 ; 0.0909091 ; 0.142857 ; 0.0588235 ; 0.0666667 ; 0.142857 ; 0.2 ; 0.142857 ; 0.117647 ; 0.0666667 ; 0.0526316 ; 0.125 ; 0.0588235 ; 0.117647 ; 0.111111 ; 0.111111 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0526316
postgresql bn:01709156n ; 0.2 ; 0.117647 ; 0.0909091 ; 0.0689655 ; 0.0930233 ; 0.0733945 ; 0.0909091 ; 0.0930233 ; 0.0930233 ; 0.0434783 ; 0.0434783 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.057971 ; 0.126984 ; 0.0952381 ; 0.0740741 ; 0.142857 ; 0.0666667 ; 0.123077 ; 0.123077 ; 0.285714 ; 0.333333 ; 0.2 ; 0.205128 ; 0.111111 ; 0.123077 ; 0.0909091 ; 0.125 ; 0.0769231 ; 0.0930233 ; 0.142857 ; 0.0733945 ; 0.5 ; 0.142857 ; 1 ; 0.0952381 ; 0.142857 ; 0.0930233 ; 0.057971 ; 0.25 ; 0.0930233 ; 0.2 ; 0.333333 ; 0.125 ; 0.0666667 ; 0.142857 ; 0.0909091 ; 0.333333 ; 0.117647 ; 0.333333 ; 0.25 ; 0.125 ; 0.125 ; 0.117647 ; 0.25 ; 0.0526316 ; 0.125 ; 0.125 ; 0.0588235 ; 0.0588235 ; 0.0526316
web bn:00080772n ; 0.0555556 ; 0.216216 ; 0.0555556 ; 0.097561 ; 0.150943 ; 0.29703 ; 0.148148 ; 0.150943 ; 0.150943 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.266667 ; 0.225352 ; 0.214286 ; 0.153846 ; 0.140351 ; 0.0952381 ; 0.533333 ; 0.225352 ; 0.225352 ; 0.102564 ; 0.0952381 ; 0.148148 ; 0.150943 ; 0.0625 ; 0.225352 ; 0.0555556 ; 0.0322581 ; 0.135135 ; 0.355556 ; 0.210526 ; 0.29703 ; 0.148148 ; 0.0952381 ; 0.0952381 ; 1 ; 0.0952381 ; 0.150943 ; 0.225352 ; 0.0625 ; 0.150943 ; 0.0555556 ; 0.210526 ; 0.0666667 ; 0.210526 ; 0.0952381 ; 0.347826 ; 0.210526 ; 0.216216 ; 0.210526 ; 0.133333 ; 0.0322581 ; 0.0666667 ; 0.216216 ; 0.0625 ; 0.0625 ; 0.0666667 ; 0.0666667 ; 0.0666667 ; 0.0322581 ; 0.0625
méthode bn:01641329n ; 0.2 ; 0.117647 ; 0.0909091 ; 0.347826 ; 0.0930233 ; 0.158416 ; 0.5 ; 0.0930233 ; 0.0444444 ; 0.0909091 ; 0.0909091 ; 0.5 ; 0.2 ; 0.0909091 ; 0.123077 ; 0.126984 ; 0.210526 ; 0.0740741 ; 0.0666667 ; 0.0666667 ; 0.123077 ; 0.123077 ; 0.285714 ; 0.333333 ; 0.2 ; 0.0930233 ; 0.25 ; 0.123077 ; 0.2 ; 0.125 ; 0.166667 ; 0.0930233 ; 0.142857 ; 0.158416 ; 0.0909091 ; 0.142857 ; 0.142857 ; 0.0952381 ; 1 ; 0.0930233 ; 0.123077 ; 0.111111 ; 0.0930233 ; 0.2 ; 0.142857 ; 0.0588235 ; 0.0666667 ; 0.142857 ; 0.0434783 ; 0.0666667 ; 0.117647 ; 0.0666667 ; 0.111111 ; 0.0588235 ; 0.0588235 ; 0.117647 ; 0.0526316 ; 0.111111 ; 0.125 ; 0.125 ; 0.0588235 ; 0.125 ; 0.111111
bits bn:00010731n ; 0.0540541 ; 0.0963855 ; 0.114286 ; 0.210526 ; 0.148148 ; 0.306931 ; 0.145455 ; 0.148148 ; 0.347826 ; 0.258065 ; 0.258065 ; 0.0540541 ; 0.114286 ; 0.114286 ; 0.54386 ; 0.102564 ; 0.355556 ; 0.31 ; 0.205128 ; 0.205128 ; 0.54386 ; 0.54386 ; 0.101266 ; 0.205128 ; 0.340426 ; 0.148148 ; 0.0606061 ; 0.54386 ; 0.258065 ; 0.0645161 ; 0.144144 ; 0.347826 ; 0.205128 ; 0.306931 ; 0.145455 ; 0.0930233 ; 0.0930233 ; 0.150943 ; 0.0930233 ; 1 ; 0.54386 ; 0.129032 ; 0.148148 ; 0.258065 ; 0.205128 ; 0.0645161 ; 0.516129 ; 0.516129 ; 0.145455 ; 0.0930233 ; 0.0963855 ; 0.0930233 ; 0.0606061 ; 0.03125 ; 0.0645161 ; 0.0963855 ; 0.0606061 ; 0.129032 ; 0.03125 ; 0.03125 ; 0.0645161 ; 0.0645161 ; 0.129032
foreach bn:03463379n ; 0.0655738 ; 0.158416 ; 0.0655738 ; 0.263158 ; 0.1 ; 0.564356 ; 0.219178 ; 0.1 ; 0.222222 ; 0.140351 ; 0.140351 ; 0.0655738 ; 0.0655738 ; 0.140351 ; 1 ; 0.166667 ; 0.526316 ; 0.57 ; 0.123077 ; 0.280702 ; 0.373494 ; 0.373494 ; 0.164948 ; 0.123077 ; 0.219178 ; 0.222222 ; 0.0338983 ; 0.373494 ; 0.140351 ; 0.0350877 ; 0.243902 ; 0.222222 ; 0.280702 ; 0.564356 ; 0.0987654 ; 0.123077 ; 0.057971 ; 0.225352 ; 0.123077 ; 0.54386 ; 1 ; 0.0701754 ; 0.1 ; 0.140351 ; 0.123077 ; 0.0350877 ; 0.280702 ; 0.280702 ; 0.219178 ; 0.057971 ; 0.158416 ; 0.057971 ; 0.0338983 ; 0.0172414 ; 0.0350877 ; 0.158416 ; 0.0338983 ; 0.0701754 ; 0.0172414 ; 0.0172414 ; 0.0350877 ; 0.0350877 ; 0.0701754
pouvoir bn:00084450v ; 0.2 ; 0.0322581 ; 0.0909091 ; 0.117647 ; 0.0294118 ; 0.039604 ; 0.0588235 ; 0.0294118 ; 0.0606061 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.0701754 ; 0.0350877 ; 0.133333 ; 0.04 ; 0.111111 ; 0.111111 ; 0.0701754 ; 0.0701754 ; 0.0714286 ; 0.25 ; 0.125 ; 0.129032 ; 0.142857 ; 0.0701754 ; 0.2 ; 0.5 ; 0.0204082 ; 0.0606061 ; 0.25 ; 0.039604 ; 0.125 ; 0.111111 ; 0.25 ; 0.0625 ; 0.111111 ; 0.129032 ; 0.0701754 ; 1 ; 0.0294118 ; 0.5 ; 0.25 ; 0.5 ; 0.111111 ; 0.25 ; 0.0588235 ; 0.111111 ; 0.0322581 ; 0.111111 ; 0.333333 ; 0.2 ; 0.5 ; 0.0322581 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857
information bn:00046705n ; 0.0540541 ; 0.213333 ; 0.258065 ; 0.0952381 ; 1 ; 0.137931 ; 0.145455 ; 1 ; 0.347826 ; 0.258065 ; 0.258065 ; 0.114286 ; 0.258065 ; 0.0540541 ; 0.1 ; 0.228571 ; 0.0701754 ; 0.13913 ; 0.205128 ; 0.0930233 ; 0.222222 ; 0.222222 ; 0.101266 ; 0.0930233 ; 0.145455 ; 0.0689655 ; 0.129032 ; 0.222222 ; 0.114286 ; 0.03125 ; 0.322917 ; 0.347826 ; 0.0444444 ; 0.137931 ; 0.145455 ; 0.0930233 ; 0.0930233 ; 0.150943 ; 0.0930233 ; 0.148148 ; 0.1 ; 0.0294118 ; 1 ; 0.0540541 ; 0.0930233 ; 0.03125 ; 0.205128 ; 0.0930233 ; 0.145455 ; 0.205128 ; 0.213333 ; 0.205128 ; 0.0606061 ; 0.0645161 ; 0.03125 ; 0.213333 ; 0.0606061 ; 0.129032 ; 0.0645161 ; 0.0645161 ; 0.0645161 ; 0.0645161 ; 0.129032
timestamp bn:03603649n ; 0.142857 ; 0.0625 ; 0.142857 ; 0.210526 ; 0.0540541 ; 0.0792079 ; 0.111111 ; 0.0540541 ; 0.114286 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.140351 ; 0.0327869 ; 0.266667 ; 0.08 ; 0.0909091 ; 0.0909091 ; 0.140351 ; 0.140351 ; 0.142857 ; 0.5 ; 0.25 ; 0.114286 ; 0.2 ; 0.140351 ; 0.333333 ; 0.25 ; 0.04 ; 0.114286 ; 0.2 ; 0.0792079 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.0555556 ; 0.2 ; 0.258065 ; 0.140351 ; 0.5 ; 0.0540541 ; 1 ; 0.2 ; 0.25 ; 0.2 ; 0.5 ; 0.0526316 ; 0.0909091 ; 0.0625 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.25 ; 0.0625 ; 0.2 ; 0.2 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.2
easyphp bn:14837849n ; 0.0909091 ; 0.117647 ; 0.0434783 ; 0.0689655 ; 0.0930233 ; 0.158416 ; 0.2 ; 0.0930233 ; 0.0930233 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.123077 ; 0.126984 ; 0.0952381 ; 0.0740741 ; 0.142857 ; 0.142857 ; 0.280702 ; 0.280702 ; 0.125 ; 0.333333 ; 0.5 ; 0.0930233 ; 0.111111 ; 0.280702 ; 0.2 ; 0.125 ; 0.0769231 ; 0.205128 ; 0.333333 ; 0.158416 ; 0.5 ; 0.142857 ; 0.333333 ; 0.210526 ; 0.142857 ; 0.205128 ; 0.123077 ; 0.25 ; 0.0930233 ; 0.2 ; 1 ; 0.125 ; 0.142857 ; 0.333333 ; 0.0909091 ; 0.333333 ; 0.117647 ; 0.142857 ; 0.25 ; 0.0588235 ; 0.125 ; 0.117647 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.0588235 ; 0.0588235 ; 0.0526316
pouvoir bn:00084451v ; 0.111111 ; 0.0333333 ; 0.111111 ; 0.0625 ; 0.03125 ; 0.019802 ; 0.030303 ; 0.03125 ; 0.0645161 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.0350877 ; 0.0178571 ; 0.0666667 ; 0.02 ; 0.0588235 ; 0.125 ; 0.0350877 ; 0.0350877 ; 0.0357143 ; 0.125 ; 0.0625 ; 0.0645161 ; 0.2 ; 0.0350877 ; 0.111111 ; 0.333333 ; 0.0103093 ; 0.0645161 ; 0.125 ; 0.019802 ; 0.0625 ; 0.0588235 ; 0.125 ; 0.0666667 ; 0.0588235 ; 0.0645161 ; 0.0350877 ; 0.5 ; 0.03125 ; 0.25 ; 0.125 ; 1 ; 0.125 ; 0.125 ; 0.0625 ; 0.125 ; 0.0333333 ; 0.125 ; 0.5 ; 0.333333 ; 1 ; 0.0333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2
impossible bn:00104687a ; 0.0434783 ; 0.117647 ; 0.2 ; 0.148148 ; 0.205128 ; 0.158416 ; 0.0909091 ; 0.205128 ; 0.516129 ; 0.5 ; 0.5 ; 0.0909091 ; 0.2 ; 0.2 ; 0.280702 ; 0.0597015 ; 0.210526 ; 0.16 ; 0.142857 ; 0.333333 ; 0.280702 ; 0.280702 ; 0.0588235 ; 0.142857 ; 0.2 ; 0.0930233 ; 0.111111 ; 0.280702 ; 0.2 ; 0.0588235 ; 0.0769231 ; 0.516129 ; 0.142857 ; 0.158416 ; 0.0909091 ; 0.0666667 ; 0.0666667 ; 0.210526 ; 0.0666667 ; 0.516129 ; 0.280702 ; 0.111111 ; 0.205128 ; 0.2 ; 0.142857 ; 0.125 ; 1 ; 0.333333 ; 0.2 ; 0.142857 ; 0.117647 ; 0.142857 ; 0.111111 ; 0.0588235 ; 0.125 ; 0.117647 ; 0.111111 ; 0.25 ; 0.0588235 ; 0.0588235 ; 0.125 ; 0.125 ; 0.25
public bn:00109211a ; 0.0909091 ; 0.117647 ; 0.0909091 ; 0.148148 ; 0.0930233 ; 0.158416 ; 0.2 ; 0.0930233 ; 0.205128 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.280702 ; 0.0597015 ; 0.210526 ; 0.16 ; 0.142857 ; 0.142857 ; 0.280702 ; 0.280702 ; 0.125 ; 0.333333 ; 0.5 ; 0.0930233 ; 0.111111 ; 0.280702 ; 0.5 ; 0.125 ; 0.0769231 ; 0.205128 ; 0.333333 ; 0.158416 ; 0.2 ; 0.142857 ; 0.142857 ; 0.0952381 ; 0.142857 ; 0.516129 ; 0.280702 ; 0.25 ; 0.0930233 ; 0.5 ; 0.333333 ; 0.125 ; 0.333333 ; 1 ; 0.0909091 ; 0.142857 ; 0.117647 ; 0.0666667 ; 0.111111 ; 0.0588235 ; 0.125 ; 0.117647 ; 0.111111 ; 0.25 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.125 ; 0.111111
en-tête bn:00043309n ; 0.111111 ; 0.210526 ; 0.111111 ; 0.0930233 ; 0.145455 ; 0.136752 ; 0.0666667 ; 0.145455 ; 0.340426 ; 0.111111 ; 0.111111 ; 0.0526316 ; 0.0526316 ; 0.25 ; 0.219178 ; 0.225352 ; 0.148148 ; 0.32 ; 0.2 ; 0.5 ; 0.0987654 ; 0.0987654 ; 0.1 ; 0.0434783 ; 0.0666667 ; 0.340426 ; 0.0285714 ; 0.0987654 ; 0.0526316 ; 0.030303 ; 0.142857 ; 0.145455 ; 0.2 ; 0.136752 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.347826 ; 0.0434783 ; 0.145455 ; 0.219178 ; 0.0588235 ; 0.145455 ; 0.0526316 ; 0.0909091 ; 0.0625 ; 0.2 ; 0.0909091 ; 1 ; 0.2 ; 0.210526 ; 0.2 ; 0.0588235 ; 0.0625 ; 0.0625 ; 0.210526 ; 0.125 ; 0.0588235 ; 0.030303 ; 0.030303 ; 0.0625 ; 0.030303 ; 0.0588235
