X ; navigateur bn:00013447n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; commentaire bn:00020978n ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; sélectionner bn:00084931v ; langage bn:00049910n ; zones bn:00005513n ; utilisateur bn:00079373n ; personne bn:00046516n ; méthode post bn:00045088n ; passwd bn:14874750n ; mysql bn:01225760n ; salaire bn:15928884n ; site bn:00047172n ; types bn:00016413n ; session bn:03751534n ; langage de script bn:01431715n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; chaîne bn:00074685n ; helvetica bn:00043646n ; web bn:00080772n ; foreach bn:03463379n ; timestamp bn:03603649n ; pouvoir bn:00084451v ; bienvenue bn:00080852n ; paris bn:00015540n ; france bn:00036202n ; programmation web bn:03446093n ; interpréter bn:00089840v ; opérateurs bn:16281811n ; cle bn:04756252n ; classes bn:03608262n ; header bn:00043309n ; null bn:15898583n ; echo bn:03626250n ; positionnement bn:00030615n ; exe bn:14503132n ; rue bn:00074595n ; thomas bn:00005240n ; mysqli bn:01438356n ; transaction bn:01403911n ; exception bn:00032118n ; head bn:02338897n ; wamp bn:01708928n ; symfony bn:02798620n ; inverse bn:00056301n ; info bn:00046698n ; realisateur bn:00027369n ; généralité bn:00041249n ; autre bn:00108013a
langage de script bn:01431715n ; 0.18 ; 0.169492 ; 0.0416667 ; 0.0689655 ; 0.133929 ; 0.16129 ; 0.0727273 ; 0.108108 ; 0.0421053 ; 0.10828 ; 0.1 ; 0.12 ; 0.0408163 ; 0.0851064 ; 0.125 ; 0.0394089 ; 0.0232558 ; 0.1 ; 0.0444444 ; 0.114286 ; 0.0444444 ; 0.114286 ; 0.137615 ; 0.0952381 ; 1 ; 0.04 ; 0.0363636 ; 0.0930233 ; 0.163265 ; 0.0465116 ; 0.0519481 ; 0.0454545 ; 0.131148 ; 0.0227273 ; 0.0416667 ; 0.02 ; 0.0851064 ; 0.0727273 ; 0.0416667 ; 0.0408163 ; 0.0833333 ; 0.0547945 ; 0.0243902 ; 0.119403 ; 0.0727273 ; 0.0227273 ; 0.0408163 ; 0.0851064 ; 0.0465116 ; 0.0851064 ; 0.0408163 ; 0.0217391 ; 0.0851064 ; 0.0408163 ; 0.0465116 ; 0.0465116 ; 0.0465116 ; 0.0465116 ; 0.0465116 ; 0.0465116
afficher bn:00087013v ; 0.0893855 ; 0.0481928 ; 0.12381 ; 0.183333 ; 0.0984848 ; 0.184211 ; 0.0547945 ; 0.190476 ; 0.102041 ; 0.0786517 ; 0.0392157 ; 0.168831 ; 0.0298507 ; 0.0344828 ; 0.109589 ; 0.192708 ; 0.12766 ; 0.186207 ; 0.015625 ; 0.139037 ; 0.015625 ; 0.0909091 ; 0.0597015 ; 0.145833 ; 0.04 ; 1 ; 0.119403 ; 0.0655738 ; 0.0135135 ; 0.016129 ; 0.0879121 ; 0.134831 ; 0.0481928 ; 0.016129 ; 0.114754 ; 0.0298507 ; 0.0298507 ; 0.115942 ; 0.030303 ; 0.131148 ; 0.119266 ; 0.102564 ; 0.186047 ; 0.0449438 ; 0.0547945 ; 0.0327869 ; 0.0298507 ; 0.0615385 ; 0.0327869 ; 0.0147059 ; 0.0298507 ; 0.031746 ; 0.0615385 ; 0.0298507 ; 0.016129 ; 0.016129 ; 0.016129 ; 0.016129 ; 0.0327869 ; 0.0327869
nécessaire bn:00107182a ; 0.0277778 ; 0.0526316 ; 0.109375 ; 0.043956 ; 0.0425532 ; 0.0487805 ; 0.153846 ; 0.0392157 ; 0.0432099 ; 0.0583942 ; 0.0350877 ; 0.0669856 ; 0.222222 ; 0.057971 ; 0.133333 ; 0.0833333 ; 0.0727273 ; 0.0330579 ; 0.0588235 ; 0.0921053 ; 0.125 ; 0.0425532 ; 0.091954 ; 0.0677966 ; 0.0363636 ; 0.119403 ; 1 ; 0.125 ; 0.037037 ; 0.0666667 ; 0.181818 ; 0.0992908 ; 0.111111 ; 0.142857 ; 0.105263 ; 0.1 ; 0.047619 ; 0.153846 ; 0.05 ; 0.1 ; 0.056338 ; 0.0683761 ; 0.170213 ; 0.0222222 ; 0.153846 ; 0.0666667 ; 0.1 ; 0.1 ; 0.142857 ; 0.047619 ; 0.222222 ; 0.125 ; 0.222222 ; 0.1 ; 0.0666667 ; 0.0666667 ; 0.0666667 ; 0.0666667 ; 0.142857 ; 0.142857
serveur bn:00044916n ; 0.0298507 ; 0.153846 ; 0.0166667 ; 0.0240964 ; 0.0232558 ; 0.137931 ; 0.111111 ; 0.102564 ; 0.0127389 ; 0.0150376 ; 0.0208333 ; 0.0191388 ; 0.2 ; 0.0327869 ; 0.0909091 ; 0.0117647 ; 0.0208333 ; 0.036036 ; 0.142857 ; 0.012987 ; 0.142857 ; 0.0540541 ; 0.0240964 ; 0.0392157 ; 0.0930233 ; 0.0655738 ; 0.125 ; 1 ; 0.0588235 ; 0.2 ; 0.05 ; 0.013986 ; 0.0714286 ; 0.2 ; 0.222222 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.1 ; 0.2 ; 0.031746 ; 0.0176991 ; 0.0465116 ; 0.0588235 ; 0.111111 ; 0.2 ; 0.0909091 ; 0.2 ; 0.5 ; 0.0909091 ; 0.0909091 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5
chaîne bn:00074685n ; 0.0496454 ; 0.0526316 ; 0.0597015 ; 0.043956 ; 0.0425532 ; 0.0487805 ; 0.0344828 ; 0.0392157 ; 0.0496894 ; 0.0283688 ; 0.311111 ; 0.0182648 ; 0.047619 ; 0.123077 ; 0.0625 ; 0.0224719 ; 0.0727273 ; 0.0330579 ; 0.125 ; 0.0506329 ; 0.125 ; 0.0425532 ; 0.091954 ; 0.0677966 ; 0.163265 ; 0.0135135 ; 0.037037 ; 0.0588235 ; 1 ; 0.142857 ; 0.04 ; 0.0130719 ; 0.0526316 ; 0.0666667 ; 0.05 ; 0.047619 ; 0.1 ; 0.0714286 ; 0.235294 ; 0.047619 ; 0.0273973 ; 0.0330579 ; 0.0185185 ; 0.0952381 ; 0.0714286 ; 0.0666667 ; 0.047619 ; 0.047619 ; 0.0666667 ; 0.222222 ; 0.1 ; 0.0588235 ; 0.1 ; 0.1 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.0666667 ; 0.0666667
helvetica bn:00043646n ; 0.0149254 ; 0.0769231 ; 0.0350877 ; 0.0121951 ; 0.0117647 ; 0.0689655 ; 0.0588235 ; 0.025 ; 0.00641026 ; 0.0152672 ; 0.0444444 ; 0.0047619 ; 0.111111 ; 0.0166667 ; 0.1 ; 0.0119048 ; 0.0217391 ; 0.00892857 ; 0.2 ; 0.0131579 ; 0.2 ; 0.0277778 ; 0.0246914 ; 0.02 ; 0.0465116 ; 0.016129 ; 0.0666667 ; 0.2 ; 0.142857 ; 1 ; 0.025641 ; 0.00704225 ; 0.037037 ; 0.333333 ; 0.125 ; 0.111111 ; 0.111111 ; 0.0588235 ; 0.125 ; 0.111111 ; 0.016129 ; 0.00892857 ; 0.0238095 ; 0.030303 ; 0.0588235 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.25 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
web bn:00080772n ; 0.0487805 ; 0.0322581 ; 0.202532 ; 0.0720721 ; 0.0701754 ; 0.0307692 ; 0.0588235 ; 0.0547945 ; 0.0903955 ; 0.104575 ; 0.0506329 ; 0.181818 ; 0.0952381 ; 0.0898876 ; 0.0740741 ; 0.107527 ; 0.0506329 ; 0.0797101 ; 0.0243902 ; 0.202532 ; 0.105263 ; 0.057971 ; 0.15534 ; 0.225352 ; 0.0519481 ; 0.0879121 ; 0.181818 ; 0.05 ; 0.04 ; 0.025641 ; 1 ; 0.125786 ; 0.103448 ; 0.0526316 ; 0.0465116 ; 0.0952381 ; 0.0952381 ; 0.08 ; 0.0465116 ; 0.0952381 ; 0.0879121 ; 0.273504 ; 0.253968 ; 0.0606061 ; 0.421053 ; 0.0526316 ; 0.0454545 ; 0.0454545 ; 0.0526316 ; 0.0222222 ; 0.0952381 ; 0.05 ; 0.0454545 ; 0.0454545 ; 0.0526316 ; 0.0526316 ; 0.0526316 ; 0.025641 ; 0.0526316 ; 0.0526316
foreach bn:03463379n ; 0.180258 ; 0.0245399 ; 0.076087 ; 0.0724638 ; 0.113861 ; 0.0240964 ; 0.0753425 ; 0.0465116 ; 0.243697 ; 0.519553 ; 0.0449438 ; 0.394422 ; 0.0275862 ; 0.0810811 ; 0.0522876 ; 0.568528 ; 0.24 ; 0.145455 ; 0.013986 ; 0.195918 ; 0.013986 ; 0.0864198 ; 0.14433 ; 0.17284 ; 0.0454545 ; 0.134831 ; 0.0992908 ; 0.013986 ; 0.0130719 ; 0.00704225 ; 0.125786 ; 1 ; 0.184397 ; 0.0141844 ; 0.0277778 ; 0.0567376 ; 0.0275862 ; 0.113475 ; 0.0277778 ; 0.0275862 ; 0.122222 ; 0.247525 ; 0.181818 ; 0.0484848 ; 0.0536913 ; 0.0141844 ; 0.0136054 ; 0.0136054 ; 0.0141844 ; 0.0275862 ; 0.0567376 ; 0.013986 ; 0.0567376 ; 0.0567376 ; 0.00704225 ; 0.00704225 ; 0.00704225 ; 0.0141844 ; 0.0141844 ; 0.0141844
timestamp bn:03603649n ; 0.0526316 ; 0.04 ; 0.0246914 ; 0.0190476 ; 0.0377358 ; 0.0784314 ; 0.0769231 ; 0.0655738 ; 0.0402299 ; 0.145985 ; 0.0289855 ; 0.124402 ; 0.133333 ; 0.0493827 ; 0.0952381 ; 0.102273 ; 0.0597015 ; 0.0787402 ; 0.0714286 ; 0.0470588 ; 0.0714286 ; 0.0701754 ; 0.150538 ; 0.119403 ; 0.131148 ; 0.0481928 ; 0.111111 ; 0.0714286 ; 0.0526316 ; 0.037037 ; 0.103448 ; 0.184397 ; 1 ; 0.0769231 ; 0.137931 ; 0.0625 ; 0.0625 ; 0.105263 ; 0.0645161 ; 0.030303 ; 0.0235294 ; 0.0620155 ; 0.0634921 ; 0.0357143 ; 0.105263 ; 0.037037 ; 0.0625 ; 0.0625 ; 0.0769231 ; 0.0625 ; 0.133333 ; 0.0714286 ; 0.133333 ; 0.0625 ; 0.037037 ; 0.037037 ; 0.037037 ; 0.0769231 ; 0.0769231 ; 0.0769231
pouvoir bn:00084451v ; 0.00740741 ; 0.037037 ; 0.0350877 ; 0.0121951 ; 0.0117647 ; 0.0333333 ; 0.0588235 ; 0.025 ; 0.0129032 ; 0.0152672 ; 0.0217391 ; 0.00956938 ; 0.25 ; 0.0338983 ; 0.047619 ; 0.0119048 ; 0.0217391 ; 0.00892857 ; 0.2 ; 0.0131579 ; 0.5 ; 0.0277778 ; 0.0246914 ; 0.02 ; 0.0227273 ; 0.016129 ; 0.142857 ; 0.2 ; 0.0666667 ; 0.333333 ; 0.0526316 ; 0.0141844 ; 0.0769231 ; 1 ; 0.125 ; 0.25 ; 0.111111 ; 0.0588235 ; 0.125 ; 0.111111 ; 0.016129 ; 0.018018 ; 0.0487805 ; 0.030303 ; 0.125 ; 0.333333 ; 0.25 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.25 ; 0.5 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
bienvenue bn:00080852n ; 0.0143885 ; 0.0645161 ; 0.0322581 ; 0.0232558 ; 0.0111111 ; 0.241379 ; 0.0952381 ; 0.0952381 ; 0.0125 ; 0.0298507 ; 0.0196078 ; 0.0188679 ; 0.153846 ; 0.0153846 ; 0.173913 ; 0.0416667 ; 0.04 ; 0.0630631 ; 0.1 ; 0.0258065 ; 0.1 ; 0.0243902 ; 0.047619 ; 0.0769231 ; 0.0416667 ; 0.114754 ; 0.105263 ; 0.222222 ; 0.05 ; 0.125 ; 0.0465116 ; 0.0277778 ; 0.137931 ; 0.125 ; 1 ; 0.0714286 ; 0.0714286 ; 0.0952381 ; 0.0769231 ; 0.0714286 ; 0.0149254 ; 0.0350877 ; 0.0909091 ; 0.0263158 ; 0.0952381 ; 0.125 ; 0.153846 ; 0.363636 ; 0.285714 ; 0.0714286 ; 0.0714286 ; 0.222222 ; 0.153846 ; 0.0714286 ; 0.125 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.285714
paris bn:00015540n ; 0.0289855 ; 0.0625 ; 0.0655738 ; 0.0229885 ; 0.0222222 ; 0.0277778 ; 0.0909091 ; 0.0444444 ; 0.0516129 ; 0.0610687 ; 0.0392157 ; 0.0187793 ; 0.142857 ; 0.0634921 ; 0.037037 ; 0.047619 ; 0.0816327 ; 0.017094 ; 0.0909091 ; 0.025641 ; 0.2 ; 0.0487805 ; 0.0229885 ; 0.0363636 ; 0.02 ; 0.0298507 ; 0.1 ; 0.0909091 ; 0.047619 ; 0.111111 ; 0.0952381 ; 0.0567376 ; 0.0625 ; 0.25 ; 0.0714286 ; 1 ; 0.142857 ; 0.0909091 ; 0.153846 ; 0.142857 ; 0.0615385 ; 0.0720721 ; 0.195122 ; 0.111111 ; 0.2 ; 0.25 ; 0.142857 ; 0.0666667 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.2 ; 0.0666667 ; 0.142857 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111
france bn:00036202n ; 0.0289855 ; 0.030303 ; 0.0655738 ; 0.0470588 ; 0.0952381 ; 0.0277778 ; 0.0434783 ; 0.0444444 ; 0.0251572 ; 0.0296296 ; 0.0816327 ; 0.0382775 ; 0.0666667 ; 0.0307692 ; 0.037037 ; 0.0114943 ; 0.0392157 ; 0.0347826 ; 0.0909091 ; 0.025641 ; 0.2 ; 0.102564 ; 0.0229885 ; 0.0754717 ; 0.0851064 ; 0.0298507 ; 0.047619 ; 0.0909091 ; 0.1 ; 0.111111 ; 0.0952381 ; 0.0275862 ; 0.0625 ; 0.111111 ; 0.0714286 ; 0.142857 ; 1 ; 0.0909091 ; 0.153846 ; 0.142857 ; 0.131148 ; 0.0347826 ; 0.0425532 ; 0.111111 ; 0.2 ; 0.25 ; 0.0666667 ; 0.0666667 ; 0.111111 ; 0.0666667 ; 0.0666667 ; 0.0909091 ; 0.0666667 ; 0.0666667 ; 0.25 ; 0.25 ; 0.25 ; 0.111111 ; 0.111111 ; 0.111111
programmation web bn:03446093n ; 0.056338 ; 0.05 ; 0.057971 ; 0.0898876 ; 0.0869565 ; 0.0465116 ; 0.142857 ; 0.170213 ; 0.0490798 ; 0.057554 ; 0.150943 ; 0.076555 ; 0.0909091 ; 0.0273973 ; 0.0588235 ; 0.0952381 ; 0.150943 ; 0.016 ; 0.111111 ; 0.105263 ; 0.0526316 ; 0.0851064 ; 0.0430108 ; 0.140351 ; 0.0727273 ; 0.115942 ; 0.153846 ; 0.111111 ; 0.0714286 ; 0.0588235 ; 0.08 ; 0.113475 ; 0.105263 ; 0.0588235 ; 0.0952381 ; 0.0909091 ; 0.0909091 ; 1 ; 0.210526 ; 0.0909091 ; 0.0547945 ; 0.0672269 ; 0.0754717 ; 0.0909091 ; 0.142857 ; 0.125 ; 0.0434783 ; 0.0909091 ; 0.125 ; 0.0909091 ; 0.0909091 ; 0.0526316 ; 0.5 ; 0.0909091 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.125 ; 0.125 ; 0.125
interpréter bn:00089840v ; 0.0522388 ; 0.03125 ; 0.0322581 ; 0.047619 ; 0.045977 ; 0.0285714 ; 0.0454545 ; 0.0952381 ; 0.0451613 ; 0.0298507 ; 0.155556 ; 0.0188679 ; 0.0714286 ; 0.0645161 ; 0.0384615 ; 0.0233918 ; 0.155556 ; 0.0172414 ; 0.222222 ; 0.0258065 ; 0.1 ; 0.105263 ; 0.0232558 ; 0.0769231 ; 0.0416667 ; 0.030303 ; 0.05 ; 0.1 ; 0.235294 ; 0.125 ; 0.0465116 ; 0.0277778 ; 0.0645161 ; 0.125 ; 0.0769231 ; 0.153846 ; 0.153846 ; 0.210526 ; 1 ; 0.153846 ; 0.030303 ; 0.0350877 ; 0.0434783 ; 0.114286 ; 0.0952381 ; 0.285714 ; 0.0714286 ; 0.0714286 ; 0.125 ; 0.153846 ; 0.153846 ; 0.1 ; 0.153846 ; 0.153846 ; 0.125 ; 0.125 ; 0.125 ; 0.285714 ; 0.125 ; 0.125
opérateurs bn:16281811n ; 0.0597015 ; 0.0625 ; 0.0655738 ; 0.0987654 ; 0.0952381 ; 0.0571429 ; 0.0434783 ; 0.0930233 ; 0.0516129 ; 0.0296296 ; 0.0392157 ; 0.0382775 ; 0.0666667 ; 0.0634921 ; 0.0769231 ; 0.0232558 ; 0.0816327 ; 0.0347826 ; 0.0909091 ; 0.025641 ; 0.0909091 ; 0.228571 ; 0.0229885 ; 0.0754717 ; 0.0408163 ; 0.131148 ; 0.1 ; 0.2 ; 0.047619 ; 0.111111 ; 0.0952381 ; 0.0275862 ; 0.030303 ; 0.111111 ; 0.0714286 ; 0.142857 ; 0.142857 ; 0.0909091 ; 0.153846 ; 1 ; 0.131148 ; 0.0347826 ; 0.0888889 ; 0.111111 ; 0.0909091 ; 0.25 ; 0.0666667 ; 0.0666667 ; 0.111111 ; 0.0666667 ; 0.142857 ; 0.0909091 ; 0.0666667 ; 0.142857 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111
cle bn:04756252n ; 0.160714 ; 0.0481928 ; 0.134615 ; 0.193277 ; 0.330275 ; 0.0227273 ; 0.0547945 ; 0.0416667 ; 0.234286 ; 0.0786517 ; 0.0707071 ; 0.153846 ; 0.0147059 ; 0.153846 ; 0.0253165 ; 0.0651163 ; 0.152174 ; 0.178082 ; 0.015625 ; 0.0703518 ; 0.031746 ; 0.185185 ; 0.0289855 ; 0.0784314 ; 0.0833333 ; 0.119266 ; 0.056338 ; 0.031746 ; 0.0273973 ; 0.016129 ; 0.0879121 ; 0.122222 ; 0.0235294 ; 0.016129 ; 0.0149254 ; 0.0615385 ; 0.131148 ; 0.0547945 ; 0.030303 ; 0.131148 ; 1 ; 0.102564 ; 0.0851064 ; 0.207792 ; 0.0547945 ; 0.0327869 ; 0.0147059 ; 0.0147059 ; 0.016129 ; 0.0298507 ; 0.0298507 ; 0.015625 ; 0.0298507 ; 0.0615385 ; 0.0327869 ; 0.0327869 ; 0.0327869 ; 0.016129 ; 0.016129 ; 0.016129
classes bn:03608262n ; 0.129032 ; 0.0300752 ; 0.174825 ; 0.149701 ; 0.0893855 ; 0.0294118 ; 0.0325203 ; 0.102941 ; 0.237209 ; 0.260417 ; 0.0540541 ; 0.21673 ; 0.0347826 ; 0.180556 ; 0.0314961 ; 0.322275 ; 0.114286 ; 0.11 ; 0.0176991 ; 0.421622 ; 0.036036 ; 0.057971 ; 0.185185 ; 0.24031 ; 0.0547945 ; 0.102564 ; 0.0683761 ; 0.0176991 ; 0.0330579 ; 0.00892857 ; 0.273504 ; 0.247525 ; 0.0620155 ; 0.018018 ; 0.0350877 ; 0.0720721 ; 0.0347826 ; 0.0672269 ; 0.0350877 ; 0.0347826 ; 0.102564 ; 1 ; 0.369369 ; 0.125984 ; 0.144144 ; 0.018018 ; 0.0347826 ; 0.0347826 ; 0.018018 ; 0.0347826 ; 0.0720721 ; 0.036036 ; 0.0347826 ; 0.0720721 ; 0.018018 ; 0.018018 ; 0.018018 ; 0.018018 ; 0.018018 ; 0.018018
header bn:00043309n ; 0.09375 ; 0.0634921 ; 0.166667 ; 0.0701754 ; 0.0330579 ; 0.0606061 ; 0.0754717 ; 0.111111 ; 0.0888889 ; 0.194444 ; 0.0238095 ; 0.0683761 ; 0.0888889 ; 0.0869565 ; 0.0701754 ; 0.244048 ; 0.102564 ; 0.0935252 ; 0.0227273 ; 0.162651 ; 0.0465116 ; 0.0555556 ; 0.0701754 ; 0.097561 ; 0.0243902 ; 0.186047 ; 0.170213 ; 0.0465116 ; 0.0185185 ; 0.0238095 ; 0.253968 ; 0.181818 ; 0.0634921 ; 0.0487805 ; 0.0909091 ; 0.195122 ; 0.0425532 ; 0.0754717 ; 0.0434783 ; 0.0888889 ; 0.0851064 ; 0.369369 ; 1 ; 0.057971 ; 0.163265 ; 0.0487805 ; 0.0888889 ; 0.0888889 ; 0.0487805 ; 0.0425532 ; 0.0888889 ; 0.097561 ; 0.0425532 ; 0.0888889 ; 0.0238095 ; 0.0238095 ; 0.0238095 ; 0.0238095 ; 0.0487805 ; 0.0487805
null bn:15898583n ; 0.106667 ; 0.0740741 ; 0.0470588 ; 0.164948 ; 0.16 ; 0.0338983 ; 0.0434783 ; 0.126984 ; 0.206452 ; 0.0516129 ; 0.115942 ; 0.0711111 ; 0.025641 ; 0.213333 ; 0.0196078 ; 0.0416667 ; 0.115942 ; 0.0592593 ; 0.0588235 ; 0.0454545 ; 0.0588235 ; 0.135593 ; 0.0366972 ; 0.109589 ; 0.119403 ; 0.0449438 ; 0.0222222 ; 0.0588235 ; 0.0952381 ; 0.030303 ; 0.0606061 ; 0.0484848 ; 0.0357143 ; 0.030303 ; 0.0263158 ; 0.111111 ; 0.111111 ; 0.0909091 ; 0.114286 ; 0.111111 ; 0.207792 ; 0.125984 ; 0.057971 ; 1 ; 0.0909091 ; 0.0625 ; 0.025641 ; 0.025641 ; 0.030303 ; 0.111111 ; 0.0526316 ; 0.0285714 ; 0.0526316 ; 0.111111 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.030303 ; 0.030303
echo bn:03626250n ; 0.0273973 ; 0.05 ; 0.123077 ; 0.0430108 ; 0.0416667 ; 0.0465116 ; 0.0666667 ; 0.0784314 ; 0.0490798 ; 0.057554 ; 0.0701754 ; 0.076555 ; 0.2 ; 0.056338 ; 0.0588235 ; 0.0454545 ; 0.0338983 ; 0.0325203 ; 0.0526316 ; 0.105263 ; 0.25 ; 0.0408163 ; 0.0898876 ; 0.140351 ; 0.0727273 ; 0.0547945 ; 0.153846 ; 0.111111 ; 0.0714286 ; 0.0588235 ; 0.421053 ; 0.0536913 ; 0.105263 ; 0.125 ; 0.0952381 ; 0.2 ; 0.2 ; 0.142857 ; 0.0952381 ; 0.0909091 ; 0.0547945 ; 0.144144 ; 0.163265 ; 0.0909091 ; 1 ; 0.125 ; 0.0909091 ; 0.0909091 ; 0.125 ; 0.0434783 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.0434783 ; 0.125 ; 0.125 ; 0.125 ; 0.0588235 ; 0.125 ; 0.125
positionnement bn:00030615n ; 0.0149254 ; 0.037037 ; 0.0350877 ; 0.0246914 ; 0.0238095 ; 0.0333333 ; 0.0588235 ; 0.0512821 ; 0.0129032 ; 0.0152672 ; 0.0444444 ; 0.00956938 ; 0.111111 ; 0.0166667 ; 0.047619 ; 0.0119048 ; 0.0444444 ; 0.00892857 ; 0.2 ; 0.0131579 ; 0.2 ; 0.0571429 ; 0.0121951 ; 0.0408163 ; 0.0227273 ; 0.0327869 ; 0.0666667 ; 0.2 ; 0.0666667 ; 0.333333 ; 0.0526316 ; 0.0141844 ; 0.037037 ; 0.333333 ; 0.125 ; 0.25 ; 0.25 ; 0.125 ; 0.285714 ; 0.25 ; 0.0327869 ; 0.018018 ; 0.0487805 ; 0.0625 ; 0.125 ; 1 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
exe bn:14503132n ; 0.0142857 ; 0.0625 ; 0.0655738 ; 0.0229885 ; 0.010989 ; 0.121212 ; 0.0909091 ; 0.0444444 ; 0.0124224 ; 0.0296296 ; 0.0192308 ; 0.00930233 ; 0.142857 ; 0.0307692 ; 0.0769231 ; 0.0232558 ; 0.0192308 ; 0.017094 ; 0.0909091 ; 0.0526316 ; 0.2 ; 0.0238095 ; 0.0229885 ; 0.0178571 ; 0.0408163 ; 0.0298507 ; 0.1 ; 0.0909091 ; 0.047619 ; 0.111111 ; 0.0454545 ; 0.0136054 ; 0.0625 ; 0.25 ; 0.153846 ; 0.142857 ; 0.0666667 ; 0.0434783 ; 0.0714286 ; 0.0666667 ; 0.0147059 ; 0.0347826 ; 0.0888889 ; 0.025641 ; 0.0909091 ; 0.111111 ; 1 ; 0.333333 ; 0.111111 ; 0.0666667 ; 0.142857 ; 0.5 ; 0.0666667 ; 0.0666667 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111
rue bn:00074595n ; 0.0289855 ; 0.133333 ; 0.031746 ; 0.0229885 ; 0.010989 ; 0.275862 ; 0.2 ; 0.0930233 ; 0.00617284 ; 0.0296296 ; 0.0192308 ; 0.00930233 ; 0.142857 ; 0.0151515 ; 0.166667 ; 0.0232558 ; 0.0192308 ; 0.0347826 ; 0.0909091 ; 0.0526316 ; 0.0909091 ; 0.0238095 ; 0.0229885 ; 0.0363636 ; 0.0851064 ; 0.0615385 ; 0.1 ; 0.2 ; 0.047619 ; 0.111111 ; 0.0454545 ; 0.0136054 ; 0.0625 ; 0.111111 ; 0.363636 ; 0.0666667 ; 0.0666667 ; 0.0909091 ; 0.0714286 ; 0.0666667 ; 0.0147059 ; 0.0347826 ; 0.0888889 ; 0.025641 ; 0.0909091 ; 0.111111 ; 0.333333 ; 1 ; 0.25 ; 0.0666667 ; 0.0666667 ; 0.2 ; 0.142857 ; 0.0666667 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25
thomas bn:00005240n ; 0.0149254 ; 0.0769231 ; 0.0172414 ; 0.0121951 ; 0.0117647 ; 0.0689655 ; 0.125 ; 0.0512821 ; 0.00641026 ; 0.0152672 ; 0.0217391 ; 0.00956938 ; 0.25 ; 0.0166667 ; 0.1 ; 0.0119048 ; 0.0217391 ; 0.018018 ; 0.2 ; 0.0131579 ; 0.2 ; 0.0277778 ; 0.0246914 ; 0.0408163 ; 0.0465116 ; 0.0327869 ; 0.142857 ; 0.5 ; 0.0666667 ; 0.333333 ; 0.0526316 ; 0.0141844 ; 0.0769231 ; 0.333333 ; 0.285714 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.111111 ; 0.016129 ; 0.018018 ; 0.0487805 ; 0.030303 ; 0.125 ; 0.333333 ; 0.111111 ; 0.25 ; 1 ; 0.111111 ; 0.111111 ; 0.2 ; 0.25 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1
mysqli bn:01438356n ; 0.0597015 ; 0.133333 ; 0.031746 ; 0.0229885 ; 0.0222222 ; 0.0571429 ; 0.0909091 ; 0.0444444 ; 0.0251572 ; 0.0610687 ; 0.0816327 ; 0.00930233 ; 0.0666667 ; 0.0634921 ; 0.0769231 ; 0.047619 ; 0.0816327 ; 0.017094 ; 0.2 ; 0.025641 ; 0.0909091 ; 0.0487805 ; 0.0470588 ; 0.0363636 ; 0.0851064 ; 0.0147059 ; 0.047619 ; 0.0909091 ; 0.222222 ; 0.25 ; 0.0222222 ; 0.0275862 ; 0.0625 ; 0.111111 ; 0.0714286 ; 0.142857 ; 0.0666667 ; 0.0909091 ; 0.153846 ; 0.0666667 ; 0.0298507 ; 0.0347826 ; 0.0425532 ; 0.111111 ; 0.0434783 ; 0.111111 ; 0.0666667 ; 0.0666667 ; 0.111111 ; 1 ; 0.142857 ; 0.0909091 ; 0.142857 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111 ; 0.111111
